Date,Code,O,H,L,C,UL,LL,Vo,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,MktCap,ExRT
2025-06-30,72030,2535.0,2538.0,2490.0,2493.0,0,0,29284500.0,73472080850.0,1.0,2535.0,2538.0,2490.0,2493.0,29284500.0,39376904.0,
2025-07-01,72030,2490.0,2493.0,2447.5,2453.0,0,0,24298200.0,59762728750.0,1.0,2490.0,2493.0,2447.5,2453.0,24298200.0,38745104.0,
2025-07-02,72030,2450.0,2480.5,2443.0,2465.5,0,0,24281200.0,59753640700.0,1.0,2450.0,2480.5,2443.0,2465.5,24281200.0,38942542.0,
2025-07-03,72030,2465.5,2540.0,2448.5,2511.5,0,0,34098600.0,85457962100.0,1.0,2465.5,2540.0,2448.5,2511.5,34098600.0,39669111.0,
2025-07-04,72030,2524.0,2529.5,2479.0,2484.5,0,0,19876900.0,49579723800.0,1.0,2524.0,2529.5,2479.0,2484.5,19876900.0,39242646.0,
2025-07-07,72030,2500.0,2502.0,2442.0,2453.5,0,0,20788700.0,51132799250.0,1.0,2500.0,2502.0,2442.0,2453.5,20788700.0,38753002.0,
2025-07-08,72030,2456.0,2486.0,2451.5,2465.0,0,0,32336400.0,79770483350.0,1.0,2456.0,2486.0,2451.5,2465.0,32336400.0,38934644.0,
2025-07-09,72030,2499.0,2533.5,2478.5,2487.5,0,0,31320400.0,78192124150.0,1.0,2499.0,2533.5,2478.5,2487.5,31320400.0,39290031.0,
2025-07-10,72030,2479.0,2482.5,2463.0,2473.5,0,0,26257000.0,64916612700.0,1.0,2479.0,2482.5,2463.0,2473.5,26257000.0,39068901.0,
2025-07-11,72030,2501.5,2524.5,2477.0,2508.0,0,0,25922800.0,64938273650.0,1.0,2501.5,2524.5,2477.0,2508.0,25922800.0,39613829.0,
2025-07-14,72030,2512.0,2543.5,2509.0,2531.5,0,0,16698800.0,42228001300.0,1.0,2512.0,2543.5,2509.0,2531.5,16698800.0,39985011.0,
2025-07-15,72030,2550.0,2563.0,2520.5,2532.0,0,0,21037000.0,53412323500.0,1.0,2550.0,2563.0,2520.5,2532.0,21037000.0,39992908.0,
2025-07-16,72030,2547.5,2547.5,2505.0,2509.5,0,0,17977300.0,45229954500.0,1.0,2547.5,2547.5,2505.0,2509.5,17977300.0,39637521.0,
2025-07-17,72030,2500.0,2520.5,2495.5,2520.5,0,0,16570200.0,41580704950.0,1.0,2500.0,2520.5,2495.5,2520.5,16570200.0,39811266.0,
2025-07-18,72030,2528.0,2528.5,2501.0,2516.0,0,0,12975500.0,32603811100.0,1.0,2528.0,2528.5,2501.0,2516.0,12975500.0,39740188.0,
2025-07-22,72030,2496.5,2518.5,2471.0,2496.5,0,0,22144000.0,55170983850.0,1.0,2496.5,2518.5,2471.0,2496.5,22144000.0,39432186.0,
2025-07-23,72030,2660.0,2905.0,2636.0,2854.5,0,0,184109600.0,516374179800.0,1.0,2660.0,2905.0,2636.0,2854.5,184109600.0,45086792.0,
2025-07-24,72030,2850.0,2897.5,2823.5,2844.5,0,0,76238500.0,218002615600.0,1.0,2850.0,2897.5,2823.5,2844.5,76238500.0,44928842.0,
2025-07-25,72030,2816.0,2830.0,2768.0,2787.0,0,0,36978000.0,103339740000.0,1.0,2816.0,2830.0,2768.0,2787.0,36978000.0,44020630.0,
2025-07-28,72030,2809.0,2818.5,2780.0,2805.0,0,0,28105100.0,78689982250.0,1.0,2809.0,2818.5,2780.0,2805.0,28105100.0,44304940.0,
2025-07-29,72030,2780.0,2783.5,2729.0,2741.5,0,0,24229100.0,66596422100.0,1.0,2780.0,2783.5,2729.0,2741.5,24229100.0,43301958.0,
2025-07-30,72030,2740.0,2756.5,2707.5,2743.5,0,0,22891900.0,62578762850.0,1.0,2740.0,2756.5,2707.5,2743.5,22891900.0,43333548.0,
2025-07-31,72030,2750.0,2756.5,2694.0,2696.5,0,0,31733900.0,86103669300.0,1.0,2750.0,2756.5,2694.0,2696.5,31733900.0,42591184.0,
2025-08-01,72030,2715.0,2745.0,2704.0,2724.5,0,0,28121900.0,76687739700.0,1.0,2715.0,2745.0,2704.0,2724.5,28121900.0,43033443.0,
2025-08-04,72030,2642.0,2685.0,2640.5,2675.0,0,0,24277700.0,64785497550.0,1.0,2642.0,2685.0,2640.5,2675.0,24277700.0,42251591.0,
2025-08-05,72030,2671.5,2701.0,2654.0,2679.0,0,0,19623500.0,52574630900.0,1.0,2671.5,2701.0,2654.0,2679.0,19623500.0,42314771.0,
2025-08-06,72030,2705.0,2750.5,2699.0,2721.0,0,0,24559800.0,67085611850.0,1.0,2705.0,2750.5,2699.0,2721.0,24559800.0,42978161.0,
2025-08-07,72030,2723.0,2741.0,2655.5,2680.0,0,0,55966800.0,151372757850.0,1.0,2723.0,2741.0,2655.5,2680.0,55966800.0,42330566.0,
2025-08-08,72030,2699.5,2804.5,2686.5,2773.0,0,0,52683900.0,145383634050.0,1.0,2699.5,2804.5,2686.5,2773.0,52683900.0,43799500.0,
2025-08-12,72030,2802.0,2868.0,2791.0,2855.0,0,0,41157800.0,116844158500.0,1.0,2802.0,2868.0,2791.0,2855.0,41157800.0,45094689.0,
2025-08-13,72030,2899.5,2926.0,2865.0,2875.0,0,0,35352300.0,102099610650.0,1.0,2899.5,2926.0,2865.0,2875.0,35352300.0,45410589.0,
2025-08-14,72030,2850.0,2856.0,2805.0,2805.0,0,0,21262700.0,59944718700.0,1.0,2850.0,2856.0,2805.0,2805.0,21262700.0,44304940.0,
2025-08-15,72030,2855.0,2866.0,2841.0,2854.0,0,0,20036900.0,57149349450.0,1.0,2855.0,2866.0,2841.0,2854.0,20036900.0,45078894.0,
2025-08-18,72030,2864.0,2905.0,2858.0,2903.0,0,0,22691000.0,65706983300.0,1.0,2864.0,2905.0,2858.0,2903.0,22691000.0,45852849.0,
2025-08-19,72030,2942.0,2978.0,2911.5,2925.0,0,0,28833900.0,84679709750.0,1.0,2942.0,2978.0,2911.5,2925.0,28833900.0,46200338.0,
2025-08-20,72030,2940.0,2982.0,2924.0,2937.0,0,0,22852700.0,67352438600.0,1.0,2940.0,2982.0,2924.0,2937.0,22852700.0,46389878.0,
2025-08-21,72030,2936.0,2937.0,2897.0,2904.0,0,0,15393500.0,44775957000.0,1.0,2936.0,2937.0,2897.0,2904.0,15393500.0,45868644.0,
2025-08-22,72030,2926.0,2943.0,2898.5,2943.0,0,0,17269600.0,50548953250.0,1.0,2926.0,2943.0,2898.5,2943.0,17269600.0,46484648.0,
2025-08-25,72030,2993.0,3010.0,2923.0,2940.0,0,0,19219100.0,56823403150.0,1.0,2993.0,3010.0,2923.0,2940.0,19219100.0,46437263.0,
2025-08-26,72030,2940.0,2953.5,2891.5,2898.5,0,0,24050800.0,69933100000.0,1.0,2940.0,2953.5,2891.5,2898.5,24050800.0,45781771.0,
2025-08-27,72030,2903.0,2911.5,2877.0,2904.5,0,0,15271700.0,44217410500.0,1.0,2903.0,2911.5,2877.0,2904.5,15271700.0,45876541.0,
2025-08-28,72030,2901.0,2925.0,2887.0,2919.0,0,0,21577200.0,62867334600.0,1.0,2901.0,2925.0,2887.0,2919.0,21577200.0,46105568.0,
2025-08-29,72030,2904.5,2911.0,2866.0,2873.0,0,0,22056600.0,63491339150.0,1.0,2904.5,2911.0,2866.0,2873.0,22056600.0,45378999.0,
2025-09-01,72030,2872.0,2886.0,2845.0,2858.5,0,0,14369100.0,41147084050.0,1.0,2872.0,2886.0,2845.0,2858.5,14369100.0,45149972.0,
2025-09-02,72030,2858.0,2882.0,2843.5,2869.0,0,0,16428500.0,47065276600.0,1.0,2858.0,2882.0,2843.5,2869.0,16428500.0,45315819.0,
2025-09-03,72030,2855.0,2877.0,2841.0,2851.5,0,0,22723600.0,64915309150.0,1.0,2855.0,2877.0,2841.0,2851.5,22723600.0,45039407.0,
2025-09-04,72030,2874.0,2915.0,2866.5,2905.0,0,0,20172300.0,58426349800.0,1.0,2874.0,2915.0,2866.5,2905.0,20172300.0,45884439.0,
2025-09-05,72030,3000.0,3006.0,2909.0,2962.5,0,0,39740400.0,117486001150.0,1.0,3000.0,3006.0,2909.0,2962.5,39740400.0,46792650.0,
2025-09-08,72030,2978.0,2979.0,2945.5,2970.0,0,0,20701300.0,61350541000.0,1.0,2978.0,2979.0,2945.5,2970.0,20701300.0,46911113.0,
2025-09-09,72030,2980.0,2988.0,2942.0,2949.0,0,0,20893100.0,61903369950.0,1.0,2980.0,2988.0,2942.0,2949.0,20893100.0,46579418.0,
2025-09-10,72030,2929.0,2930.0,2896.5,2913.5,0,0,21880400.0,63745472850.0,1.0,2929.0,2930.0,2896.5,2913.5,21880400.0,46018696.0,
2025-09-11,72030,2880.0,2886.5,2858.0,2886.5,0,0,23863900.0,68610090000.0,1.0,2880.0,2886.5,2858.0,2886.5,23863900.0,45592231.0,
2025-09-12,72030,2897.5,2904.5,2884.5,2889.0,0,0,22253600.0,64394229600.0,1.0,2897.5,2904.5,2884.5,2889.0,22253600.0,45631719.0,
2025-09-16,72030,2900.0,2944.0,2895.5,2934.5,0,0,22117100.0,64755932500.0,1.0,2900.0,2944.0,2895.5,2934.5,22117100.0,46350391.0,
